vrsta;naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere_eur;maloprodajna_cijena_eur;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena_eur;barkod;dostupnost;datum_sidrene_cijene;datum_i_vrijeme_cjenikaproizvod;BrushBlender&co. - sapun za pranje spužvica i četkica - 60 gr;;ndg makeup;;;10.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 60 gr / 500 ml;;ndg makeup;;;36.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 100 gr / 250 ml;;ndg makeup;;;30.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 100 gr / 500 ml;;ndg makeup;;;40.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 60 gr / 100 ml;;ndg makeup;;;17.99;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN - 100 gr / 100 ml;;ndg makeup;;;21.99;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 60 gr / 250 ml;;ndg makeup;;;32.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 60 gr / 500 ml;;ndg makeup;;;42.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 100 gr / 250 ml;;ndg makeup;;;36.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 100 gr / 500 ml;;ndg makeup;;;46.0;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 60 gr / 100 ml;;ndg makeup;;;23.99;ne;;;;nedostupno;10.9.2026.;25.09.2026 06:38
proizvod;BUNDLE BrushBlender&co. SPRAY CLEANER + SAPUN + BLENDER - 100 gr / 100 ml;;ndg makeup;;;27.99;ne;;;;dostupno;10.9.2026.;25.09.2026 06:38

usluga;Profesionalno šminkanje;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Šminkanje za vjenčanja;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Spray tan;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Lash lift;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Brow lift;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Threading;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Makeup edukacija;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Spray tan edukacija;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Lash lift edukacija;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
usluga;Brow lift edukacija;;NDG makeup studio;;;0.00;ne;;0.00;;dostupno;10.9.2026.;25.09.2026 06:38
